competitor_name,event,species,diameter,actual_time,predicted_time,error,abs_error,confidence,std_dev
Matt Slingerland,SB,S01,300,24,20.447440955455697,-3.552559044544303,3.552559044544303,MEDIUM,3.901873317345834
Angus Nicholson,SB,S06,355,104,54.23263902386678,-49.76736097613322,49.76736097613322,LOW,6.0
Kailee Curtis,UH,S04,279,168,45.16730268021033,-122.83269731978967,122.83269731978967,LOW,6.0
Matt Cogar,SB,S01,300,16,18.31962484059879,2.3196248405987916,2.3196248405987916,MEDIUM,2.7497800498550142
Eric Hoberg,SB,S06,300,22,32.88358182179672,10.883581821796717,10.883581821796717,LOW,4.08248290463863
Walt Page,UH,S01,320,22,23.127749733436065,1.1277497334360653,1.1277497334360653,MEDIUM,4.293574572392525
Jason Lentz,SB,S01,300,22,18.868603128996167,-3.131396871003833,3.131396871003833,MEDIUM,2.6559077833852127
Mike Johnson,UH,S05,330,52,36.39812280503072,-15.601877194969283,15.601877194969283,LOW,6.0
Matt Slingerland,SB,S01,300,18,20.495304690859847,2.4953046908598466,2.4953046908598466,MEDIUM,3.880523358834674
Mike Forrester,UH,S01,320,29,24.61087825645881,-4.389121743541189,4.389121743541189,LOW,6.0
Jason Lentz,SB,S01,300,17,18.874512463660558,1.8745124636605581,1.8745124636605581,MEDIUM,2.8010986855435576
Mason Banks,SB,S06,355,133,68.39835468146381,-64.60164531853619,64.60164531853619,LOW,3.0
Jeff Skirvin,UH,S04,304,30,42.69825597263939,12.698255972639387,12.698255972639387,LOW,6.0
Walt Page,UH,S01,320,26,22.979682149702782,-3.020317850297218,3.020317850297218,MEDIUM,4.330545368473329
Jeff Skirvin,UH,S01,320,36,24.168119207243716,-11.831880792756284,11.831880792756284,LOW,6.0
Kelly Kerrigan,SB,S01,250,75,40.4540932005239,-34.5459067994761,34.5459067994761,LOW,6.0
Cody Labahn,SB,S06,300,56,31.389563826263643,-24.610436173736357,24.610436173736357,LOW,6.0
Matt Slingerland,SB,S01,300,14,20.776660222548227,6.776660222548227,6.776660222548227,MEDIUM,3.645017674326675
Arden Cogar Jr,SB,S01,300,16,20.44777202902002,4.447772029020019,4.447772029020019,MEDIUM,2.207082264260243
Kailee Curtis,SB,S04,279,296,33.186269352407834,-262.81373064759214,262.81373064759214,LOW,6.0
Walt Page,SB,S01,300,21,19.770879982380244,-1.2291200176197563,1.2291200176197563,MEDIUM,3.6863169704088268
Arden Cogar Jr,UH,S01,320,23,23.01450694914532,0.014506949145321357,0.014506949145321357,MEDIUM,2.85077076233673
Branden Sirguy,UH,S01,320,21,23.89617820989436,2.8961782098943587,2.8961782098943587,LOW,3.7815340802378077
Jeff Skirvin,SB,S01,300,32,21.5217870960064,-10.478212903993601,10.478212903993601,LOW,6.0
Branden Sirguy,UH,S01,320,26,23.67325925334641,-2.3267407466535914,2.3267407466535914,LOW,4.8270073544588685
Martha King,UH,S01,270,25,37.07996203003829,12.079962030038288,12.079962030038288,LOW,4.6690470119715
Gillian Shannon,UH,S09,254,214,46.9697107533822,-167.0302892466178,167.0302892466178,LOW,6.0
Stirling Hart,UH,S09,330,22,21.497970983240073,-0.5020290167599271,0.5020290167599271,LOW,2.6457513110645907
Cody Labahn,SB,S01,300,36,21.592224595830743,-14.407775404169257,14.407775404169257,LOW,6.0
Arden Cogar Jr,UH,S01,320,18,23.154399364129148,5.154399364129148,5.154399364129148,MEDIUM,2.860718811979276
Walt Page,UH,S01,320,29,22.77830150960122,-6.221698490398779,6.221698490398779,MEDIUM,4.247548312458219
Matt Cogar,UH,S01,320,17,20.073495349800986,3.073495349800986,3.073495349800986,MEDIUM,3.4581989221191765
Nate Hodges,UH,S01,320,19,22.283864644402446,3.2838646444024455,3.2838646444024455,MEDIUM,2.4618298195866544
Mike Johnson,SB,S05,279,42,25.93805324791811,-16.06194675208189,16.06194675208189,LOW,6.0
Nate Hodges,SB,S01,300,15,18.826287882781248,3.826287882781248,3.826287882781248,MEDIUM,1.5
Mike Forrester,UH,S01,320,45,24.516086289000533,-20.483913710999467,20.483913710999467,LOW,6.0
Erin Cramsey,UH,S06,266,90,30.084958652081145,-59.91504134791886,59.91504134791886,MEDIUM,6.0
Lauren Bergman,SB,S10,250,26,30.091454595320513,4.0914545953205135,4.0914545953205135,LOW,6.0
Mike Forrester,SB,S04,304,46,32.91070047833111,-13.089299521668892,13.089299521668892,LOW,6.0
Walt Page,UH,S01,320,21,23.281638403872257,2.2816384038722575,2.2816384038722575,MEDIUM,4.257772092116463
Angus Nicholson,UH,S05,330,36,36.33228514935405,0.33228514935404974,0.33228514935404974,LOW,6.0
Arden Cogar Jr,SB,S01,300,14,20.44975695287431,6.44975695287431,6.44975695287431,MEDIUM,2.101586702153082
Jason Lentz,UH,S01,320,26,22.40716037088559,-3.5928396291144082,3.5928396291144082,MEDIUM,4.177780050917731
Adam LaSalle,UH,S01,320,28,23.812973932635053,-4.187026067364947,4.187026067364947,LOW,6.0
Lauren Bergman,UH,S10,270,25,31.770974620284733,6.770974620284733,6.770974620284733,LOW,6.0
Walt Page,UH,S01,320,29,22.972829914782153,-6.027170085217847,6.027170085217847,MEDIUM,4.247548312458219
